AAL,22.27,-1.56,22.15,22.17,19.07
AAPL,122.54,-0.85,122.36,122.44,41.94
ABNB,187.14,-7.86,186.65,187,16.47
ACB,9.32,-0.38,9.28,9.29,2.78
ADBE,460.2,7.79,458.51,460,77.78
ADSK,269,3.04,269.5,275,53.85
AI,70.51,-4.55,70.3,70.48,1.8
ALL,111.86,-0.38,106.12,113,13.91
AMC,10.66,-1.83,10.16,10.17,22.86
AMD,78.38,-1.92,76.52,76.66,13.22
AMZN,3137.5,26.63,3138,3140,73.09
ATVI,91.38,-0.49,91.1,91.96,39.31
AXP,136.08,-3.87,135.03,137,6.16
BA,241.25,-9.98,240.46,240.68,18.32
BABA,237.67,0.55,238.03,238.39,74.98
BAC,36.9,-0.76,36.83,36.92,14.73
BE,26.58,-1.03,25.95,26.45,32.78
BIDU,261.55,-4.58,264.24,264.3,47.49
BIIB,267.21,-5.13,265,269.49,71.63
BKNG,2215,-16.89,2180,2226,10.71
BLK,716.57,-14.35,709.69,743.33,27.86
BURL,716.57,-14.35,709.69,743.33,27.86
BYND,137.1,-2.5,136,137.27,23.64
C,70.91,-1.05,70.75,70.93,7.2
CAT,218.25,-7.77,218,218.85,7.57
CCL,25.33,-2.15,25.33,25.41,3.04
CGC,32.45,-1.01,32.34,32.45,17.94
CHGG,91.06,-1.54,85.01,93.39,61.98
CHTR,645.45,7.83,631,685,75.26
CHWY,84.69,-1.19,84.66,85.01,69.45
CL,77.75,1.98,76.99,78.57,86.36
CMG,1451.29,6.96,1442.5,1454.88,43.96
COF,122.41,-2.81,121.01,128.92,8.9
CRM,215,-0.17,214.2,214.89,67.55
CRSP,126.49,-6.51,126.1,127.25,26.81
CRSR,31.48,-0.81,31.58,31.82,3.77
CSCO,50.01,-0.29,49.97,50.1,73.09
CVS,71.9,-1.57,71.96,72.27,18.51
CVX,101.97,-0.57,101.9,102.2,10.66
DASH,131.76,-4.15,132.3,133,22.47
DBX,27.35,0.03,27.05,27.5,75.31
DIS,188.73,-4.13,188.8,188.85,6.86
DISH,35.94,-1.6,35,36.67,30.82
DLTR,109.86,-0.39,108.27,111.22,78.5
DOCU,207.96,0.53,207.63,208,31.44
DOMO,61.77,-4.35,60,62.7,17.54
DOW,60.75,-2.76,60.6,60.89,5.09
EA,133.05,1.64,132,134.96,80.11
EBAY,60.31,0.02,60.04,60.3,88.92
ECHO,29.5,-1.34,29,36,1.35
ED,73.24,1.19,73,73.3,95.95
ETSY,219.67,-0.1,219,221,58.45
EXPE,168.42,-4.67,168.1,169.3,12.98
F,12.21,-0.64,12.21,12.22,6
FB,290.63,-2.91,290.2,290.49,75.36
FDX,266.81,-7.21,266.8,267.2,37.62
FL,55.59,-2.46,55.59,59,14.16
GE,12.66,-0.47,12.66,12.69,39.66
GILD,64.5,-1.03,64.25,64.6,72.18
GM,56.16,-1.94,56.1,56.13,17.39
GME,181.75,-12.74,154,154.29,5.52
GOOG,2052.96,14.37,2048.51,2055.88,32.66
GOOGL,2041.33,10.64,2041.35,2045,34.67
GOOS,41.7,-1.88,40.5,43,9.2
GPRO,12.41,-0.96,12.28,12.35,74.25
GPS,27.87,-2.33,27.79,28.1,2.31
GRUB,62.71,-0.21,50,63.25,11.73
GS,331.77,-7.56,331.35,332.25,1.72
HAS,96.75,-0.1,93.45,97,75.57
HD,289.98,1.04,288.5,289.99,88.25
IBM,130.46,-0.09,130.2,130.75,84.17
ILMN,416.43,-13.49,416,449,59.67
INTC,63.48,-2.15,67.65,67.69,31.76
INTU,383.2,0.18,369,386,34.65
JBLU,19.25,0.05,19.22,19.27,11.61
JD,83.51,-1.46,83.33,83.4,9.1
JNJ,160.35,-0.15,160.25,160.35,68.42
JOBS,63.11,1.04,61.05,78,40.44
JPM,149.46,-1.51,149.38,149.5,3.93
KHC,38.92,-0.63,38.97,39.19,58.42
KLAC,297.06,-8.3,307,309.75,52.72
KO,51.39,0.39,51.11,51.38,82.43
KR,36.64,0.45,36.6,37.01,85.56
KSS,55.54,-3.2,55.14,56.5,7.81
LGND,149.98,-14.57,147.77,163,19.3
LLY,183.68,-2.16,183.65,183.99,1.9
LMT,353.61,-4.05,354,354.69,75.48
LOW,180.4,-1.49,179.94,180.4,80.39
LULU,314.03,0.43,312.51,314,67.38
LUV,57.62,-1.84,57.65,57.8,9.83
LYFT,61.56,-2.6,61.3,61.52,9.43
LYV,81.64,-2.64,81.01,82,5.53
M,16.09,-1.69,15.93,16,1.76
MA,355.27,-3.13,354,355.27,13.03
MAA,144.75,1.99,133.37,148,86.21
MAR,142.42,-9.08,142.65,143.2,6.28
MAT,20.14,-0.735,19.92,20.4,17.81
